,Country ISO3,Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Admin 3 PCode,Admin 3 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info,Cluster Full
148603,CAF,,,CF632,Bambouti,,,CAR HNRP 2025,ALL,total,351.0,379.0,362.0,,,,All Sectors
148670,CAF,,,CF633,Zémio,,,CAR HNRP 2025,ALL,total,33307.0,27373.0,24761.0,,,,All Sectors
148738,CAF,,,CF634,Djémah,,,CAR HNRP 2025,ALL,total,2812.0,1764.0,1752.0,,,,All Sectors
148806,CAF,,,CF635,Mboki,,,CAR HNRP 2025,ALL,total,6242.0,4181.0,3920.0,,,,All Sectors
148867,CAF,,,CF711,Bangui-Centre,,,CAR HNRP 2025,ALL,total,240251.0,47328.0,25312.0,,,,All Sectors
148932,CAF,,,CF712,Bangui-Kagas,,,CAR HNRP 2025,ALL,total,292645.0,52626.0,14282.0,,,,All Sectors
148997,CAF,,,CF713,Bangui-Fleuve,,,CAR HNRP 2025,ALL,total,822375.0,220312.0,113890.0,,,,All Sectors
149069,CAF,,,CF714,Bangui-Rapide,,,CAR HNRP 2025,ALL,total,109651.0,22522.0,14099.0,,,,All Sectors
149134,CMR,,,,,,,Final HRP caseload,ALL,total,,3322058.0,2100146.0,,,,All Sectors
149226,CMR,CM001,Adamaoua,,,,,Final HRP caseload,ALL,total,,60377.0,48298.0,,,,All Sectors
149239,CMR,,,CM001001,Djerem,,,Final HRP caseload,ALL,total,,912.0,729.0,,,,All Sectors
149256,CMR,,,CM001003,Mayo-Banyo,,,Final HRP caseload,ALL,total,,2932.0,2345.0,,,,All Sectors
149269,CMR,,,CM001004,Mbere,,,Final HRP caseload,ALL,total,,53417.0,42733.0,,,,All Sectors
149285,CMR,,,CM001005,Vina,,,Final HRP caseload,ALL,total,,3116.0,2491.0,,,,All Sectors
149298,CMR,CM002,Centre,,,,,Final HRP caseload,ALL,total,,47721.0,38175.0,,,,All Sectors
149313,CMR,,,CM002007,Mfoundi,,,Final HRP caseload,ALL,total,,47721.0,38175.0,,,,All Sectors
149322,CMR,CM003,Est,,,,,Final HRP caseload,ALL,total,,168217.0,134574.0,,,,All Sectors
149335,CMR,,,CM003001,Boumba-et-Ngoko,,,Final HRP caseload,ALL,total,,5245.0,4195.0,,,,All Sectors
149348,CMR,,,CM003002,Haut-Nyong,,,Final HRP caseload,ALL,total,,76.0,62.0,,,,All Sectors
